name	taxID	taxRank	genomeSize	numReads	numUniqueReads	abundance
Chondromyces crocatus	52	species	11388132	1	0	0.0
Sorangium cellulosum	56	species	40417900	1	0	0.0
Vitreoscilla stercoraria	61	species	2661781	18	15	0.0
Lysobacter	68	genus	0	4	0	0.0
Caulobacter	75	genus	0	1	0	0.0
Leptothrix	88	genus	0	1	0	0.0
Stella humosa	94	species	5832650	1	0	0.0
Gemmata obscuriglobus	114	species	17998094	2	0	0.0
Brachyspira hyodysenteriae	159	species	15235159	1	0	0.0
Aquaspirillum	187	genus	0	2	0	0.0
Helicobacter pylori	210	species	438828474	6	6	0.0
Achromobacter	222	genus	0	8	0	0.0
Alteromonas	226	genus	0	1	0	0.0
Brucella	234	genus	0	1	0	0.0
Paracoccus	265	genus	0	1	0	0.0
Paracoccus denitrificans	266	species	10479359	1	0	0.0
Comamonas testosteroni	285	species	11922205	1	0	0.0
Pseudomonas	286	genus	0	8	3	0.0
Pseudomonas aeruginosa	287	species	3070625948	18	5	0.0
Burkholderia cepacia	292	species	116666883	1	0	0.0
Pseudomonas fluorescens	294	species	173760158	5	3	0.0
Hydrogenophilus thermoluteolus	297	species	2288780	3	3	0.0
Pseudomonas putida	303	species	252816335	5	4	0.0
Ralstonia solanacearum	305	species	572965844	820	172	0.0
Stutzerimonas stutzeri	316	species	101998419	6	0	0.0
Ralstonia pickettii	329	species	9649472	238	4	0.0
Pseudomonas chlororaphis subsp. chlororaphis	333	subspecies	6808187	1	1	0.0
Burkholderia glumae	337	species	317178002	74	34	0.0
Azotobacter chroococcum	353	species	10098779	2	0	0.0
Hyphomicrobiales	356	order	0	1	0	0.0
Rhizobium leguminosarum bv. trifolii	386	leaf	52584484	3	2	0.0
Methylobacillus flagellatus	405	species	0	2	0	0.0
Acetobacteraceae	433	family	0	2	0	0.0
Acetobacter aceti	435	species	7692929	3	1	0.0
Moraxellaceae	468	family	0	1	0	0.0
Acinetobacter baumannii	470	species	1875884396	9	2	0.0
Neisseriaceae	481	family	0	1	0	0.0
Neisseria gonorrhoeae	485	species	280087943	59	1	0.0
Neisseria meningitidis	487	species	232616985	1	1	0.0
Neisseria canis	493	species	2569389	1	0	0.0
Kingella denitrificans	502	species	2220058	1	0	0.0
Kingella kingae	504	species	10104959	1	1	0.0
Alcaligenaceae	506	family	0	2	0	0.0
Bordetella	517	genus	0	7	0	0.0
Bordetella bronchiseptica	518	species	104004230	6	2	0.0
Bordetella parapertussis	519	species	420109997	22	5	0.0
Bordetella pertussis	520	species	2388014558	15	4	0.0
Chromobacterium	535	genus	0	2	0	0.0
Iodobacter fluviatilis	537	species	4588033	1	0	0.0
Eikenella corrodens	539	species	6843626	2	0	0.0
Enterobacteriaceae	543	family	0	3	0	0.0
Erwinia	551	genus	0	2	0	0.0
Escherichia coli	562	species	10143976665	8	3	0.0
Klebsiella pneumoniae	573	species	6955559347	3	1	0.0
Morganella morganii	582	species	146992703	7	1	0.0
Proteus mirabilis	584	species	388217410	3	0	0.0
Serratia odorifera	618	species	5272556	1	0	0.0
Vibrionaceae	641	family	0	1	0	0.0
Aeromonas caviae	648	species	166843152	4	0	0.0
Aeromonas veronii	654	species	138676447	4	0	0.0
Vibrio cholerae	666	species	337369860	2	0	0.0
Vibrio harveyi	669	species	47752704	1	1	0.0
Vibrio vulnificus	672	species	99103064	1	0	0.0
Avibacterium paragallinarum	728	species	34777564	1	0	0.0
Histophilus somni	731	species	61590937	3	0	0.0
Rickettsiales	766	order	0	1	0	0.0
Anaplasma	768	genus	0	1	0	0.0
Oxalobacter formigenes	847	species	4936640	6	0	0.0
Fusobacterium	848	genus	0	1	0	0.0
Dichelobacter nodosus	870	species	0	1	0	0.0
Thiomonas intermedia	926	species	3343428	3	3	0.0
Ehrlichia	943	genus	0	1	0	0.0
Wolbachia	953	genus	0	3	0	0.0
Wolbachia pipientis	955	species	12267010	1	0	0.0
Bacteriovorax stolpii	960	species	7691180	2	0	0.0
Herbaspirillum	963	genus	0	6	0	0.0
Herbaspirillum seropedicae	964	species	16321366	4	0	0.0
Selenomonas	970	genus	0	1	0	0.0
Halorhodospira halochloris	1052	species	2834560	1	0	0.0
Microcystis aeruginosa	1126	species	5501105	1	0	0.0
Synechococcus	1129	genus	0	1	0	0.0
Tolypothrix sp. PCC 7601	1188	species	10128441	2	2	0.0
Proteobacteria	1224	phylum	0	2	0	0.0
Nitrosococcus	1227	genus	0	1	0	0.0
Nitrosococcus oceani	1229	species	0	1	0	0.0
Gammaproteobacteria	1236	class	0	6	0	0.0
Pediococcus pentosaceus	1255	species	38568037	1	0	0.0
Staphylococcus aureus	1280	species	2407768036	2	1	0.0
Staphylococcus epidermidis	1282	species	301715820	1	1	0.0
Staphylococcus haemolyticus	1283	species	48533368	1	0	0.0
Staphylococcus warneri	1292	species	25040251	2	0	0.0
Deinococcus	1298	genus	0	8	0	0.0
Streptococcus pyogenes	1314	species	424822574	2	1	0.0
Enterococcus faecium	1352	species	792840219	1	1	0.0
Enterococcus gallinarum	1353	species	21327526	3	0	0.0
Aerococcus urinae	1376	species	3948518	2	0	0.0
Bacillales	1385	order	0	1	0	0.0
Bacillus	1386	genus	0	3	0	0.0
Bacillus amyloliquefaciens	1390	species	216478490	2	1	0.0
Bacillus anthracis	1392	species	471360814	3	2	0.0
Bacillus cereus	1396	species	546199908	4	0	0.0
Cytobacillus firmus	1399	species	15603304	1	0	0.0
Paenibacillus lautus	1401	species	7354571	1	1	0.0
Bacillus licheniformis	1402	species	148010079	2	2	0.0
