name	taxID	taxRank	genomeSize	numReads	numUniqueReads	abundance
Stella	93	genus	0	1	0	0.0
Stella humosa	94	species	5832650	4	0	0.0
Helicobacter pylori	210	species	438828474	3	3	0.0
Brucella	234	genus	0	5	0	0.0
Chryseobacterium indologenes	253	species	50065004	3	2	0.0
Paracoccus	265	genus	0	1	0	0.0
Hyphomicrobiales	356	order	0	1	0	0.0
Acetobacteraceae	433	family	0	1	0	0.0
Acetobacter aceti	435	species	7692929	1	1	0.0
Acinetobacter baumannii	470	species	1875884396	2	0	0.0
Acinetobacter calcoaceticus	471	species	19874237	1	0	0.0
Neisseria meningitidis	487	species	232616985	1	1	0.0
Klebsiella pneumoniae	573	species	6955559347	4	0	0.0
Morganella morganii	582	species	146992703	1	1	0.0
Aeromonas salmonicida	645	species	34495942	1	0	0.0
Avibacterium paragallinarum	728	species	34777564	1	0	0.0
Butyrivibrio fibrisolvens	831	species	4453070	1	1	0.0
Faecalibacterium prausnitzii	853	species	35178940	15	6	0.0
Megasphaera	906	genus	0	1	0	0.0
Wolbachia	953	genus	0	1	1	0.0
Bacteriovorax stolpii	960	species	7691180	3	0	0.0
Selenomonas	970	genus	0	1	0	0.0
Synechocystis sp. PCC 6803	1148	species	22554097	1	0	0.0
Gammaproteobacteria	1236	class	0	2	0	0.0
Piscirickettsia salmonis	1238	species	276337553	1	0	0.0
Pediococcus acidilactici	1254	species	52743478	4	1	0.0
Pediococcus pentosaceus	1255	species	38568037	14	9	0.0
Micrococcus luteus	1270	species	38031869	1	0	0.0
Staphylococcus	1279	genus	0	1	0	0.0
Staphylococcus aureus	1280	species	2407768036	1	0	0.0
Staphylococcus xylosus	1288	species	40401610	1	0	0.0
Staphylococcus hominis	1290	species	18335782	1	1	0.0
Streptococcus thermophilus	1308	species	143236466	2	0	0.0
Streptococcus pyogenes	1314	species	424822574	8	7	0.0
Blautia hansenii	1322	species	0	1	0	0.0
Enterococcus faecium	1352	species	792840219	6	1	0.0
Enterococcus gallinarum	1353	species	21327526	1	0	0.0
Enterococcus hirae	1354	species	60198513	2	2	0.0
Bacillales	1385	order	0	1	0	0.0
Bacillus	1386	genus	0	2	0	0.0
Bacillus anthracis	1392	species	471360814	6	2	0.0
Bacillus cereus	1396	species	546199908	8	1	0.0
Bacillus licheniformis	1402	species	148010079	11	0	0.0
Priestia megaterium	1404	species	154373900	18	1	0.0
Bacillus mycoides	1405	species	244506878	3	1	0.0
Bacillus subtilis	1423	species	687833382	2	1	0.0
Bacillus thuringiensis	1428	species	310632746	7	4	0.0
Bacillus thuringiensis serovar israelensis	1430	leaf	11800708	1	0	0.0
Brevibacillus laterosporus	1465	species	21876638	2	1	0.0
Sporosarcina pasteurii	1474	species	3253966	4	3	0.0
Clostridium acetobutylicum	1488	species	0	1	0	0.0
Clostridium botulinum	1491	species	146505968	2	2	0.0
Clostridium beijerinckii	1520	species	43424194	6	6	0.0
Clostridium kluyveri	1534	species	4512934	1	0	0.0
1551	1551	no rank	5167919	1	1	0.0
Levilactobacillus brevis	1580	species	52093206	10	1	0.0
Lactiplantibacillus plantarum	1590	species	573387568	44	27	0.0
Limosilactobacillus reuteri	1598	species	57983928	1	0	0.0
Latilactobacillus sakei	1599	species	52712740	1	0	0.0
Limosilactobacillus vaginalis	1633	species	5557907	1	0	0.0
Listeria monocytogenes	1639	species	600027150	2	0	0.0
Listeria innocua	1642	species	40771465	19	18	0.0
Trueperella pyogenes	1661	species	32546968	2	2	0.0
Arthrobacter	1663	genus	0	2	0	0.0
Brevibacterium	1696	genus	0	1	1	0.0
Propionibacterium freudenreichii	1744	species	39489676	2	0	0.0
Cutibacterium acnes	1747	species	32695595	2	2	0.0
Arachnia propionica	1750	species	17097580	1	1	0.0
Thermoanaerobacter	1754	genus	0	1	0	0.0
Actinomycetia	1760	class	0	2	0	0.0
Mycobacterium tuberculosis	1773	species	1178218658	5	1	0.0
Streptomyces fradiae	1906	species	14207183	1	1	0.0
Thermoactinomyces vulgaris	2026	species	5233536	4	0	0.0
Actinomycetales	2037	order	0	2	0	0.0
Actinomycetaceae	2049	family	0	3	0	0.0
Mycoplasma	2093	genus	0	1	0	0.0
Spiroplasmataceae	2131	family	0	1	0	0.0
Sporomusa termitida	2377	species	5316008	1	1	0.0
Symbiobacterium	2733	genus	0	4	0	0.0
Latilactobacillus curvatus	28038	species	32006489	5	1	0.0
Betaproteobacteria	28216	class	0	2	0	0.0
Deltaproteobacteria	28221	class	0	3	0	0.0
Bacillus thuringiensis serovar galleriae	29338	leaf	6742233	1	0	0.0
Brucella melitensis	29459	species	194975907	7	3	0.0
Veillonella	29465	genus	0	6	0	0.0
Aeromonas salmonicida subsp. salmonicida	29491	subspecies	24373553	2	0	0.0
Bifidobacteriaceae	31953	family	0	2	0	0.0
Veillonellaceae	31977	family	0	1	0	0.0
Clostridiaceae	31979	family	0	1	0	0.0
Parvimonas micra	33033	species	4966270	4	0	0.0
Blautia producta	33035	species	12600145	1	0	0.0
Anaerococcus vaginalis	33037	species	1893964	3	0	0.0
Candidatus Phytoplasma	33926	genus	0	1	0	0.0
Lactobacillaceae	33958	family	0	3	0	0.0
Lentilactobacillus kefiri	33962	species	4977664	1	0	0.0
Riemerella anatipestifer	34085	species	59143448	2	2	0.0
Limosilactobacillus pontis	35787	species	1714771	1	0	0.0
Laceyella sacchari	37482	species	6758086	4	0	0.0
Heyndrickxia oleronia	38875	species	15778987	3	0	0.0
Anaerobutyricum hallii	39488	species	3515670	1	0	0.0
Eubacterium ventriosum	39496	species	2856089	16	0	0.0
Dialister pneumosintes	39950	species	1274073	1	0	0.0
Corynebacterium matruchotii	43768	species	5745382	5	0	0.0
Caldicellulosiruptor	44000	genus	0	3	2	0.0
Caloramator	44258	genus	0	1	0	0.0
Moorella	44260	genus	0	1	0	0.0
Desulfohalobium	45662	genus	0	1	0	0.0
Limosilactobacillus panis	47493	species	2129075	1	0	0.0
Acinetobacter pittii	48296	species	132017223	1	0	0.0
Pediococcus damnosus	51663	species	11570178	2	1	0.0
Pseudoalteromonas	53246	genus	0	8	0	0.0
Chroococcidiopsis	54298	genus	0	1	0	0.0
Brevibacillus parabrevis	54914	species	6088079	4	1	0.0
Brevibacillus	55080	genus	0	1	0	0.0
Latilactobacillus graminis	60519	species	1807083	1	0	0.0
Streptococcus infantis	68892	species	1707667	1	1	0.0
Selenomonas sputigena	69823	species	2740586	29	0	0.0
Staphylococcus condimenti	70255	species	13388632	1	1	0.0
Thermaerobacter	73918	genus	0	1	0	0.0
Collinsella aerofaciens	74426	species	11488285	1	0	0.0
Ferribacterium limneticum	76259	species	17000930	4	0	0.0
Cupriavidus gilardii	82541	species	22971134	1	1	0.0
Succinivibrio dextrinosolvens	83771	species	6318491	9	8	0.0
Pseudoclostridium thermosuccinogenes	84032	species	4731216	1	1	0.0
Eggerthella lenta	84112	species	31223759	12	11	0.0
Gordonia polyisoprenivorans	84595	species	18239253	1	1	0.0
Aeromonadaceae	84642	family	0	2	0	0.0
Bifidobacteriales	85004	order	0	2	0	0.0
Micrococcales	85006	order	0	2	0	0.0
Corynebacteriales	85007	order	0	2	0	0.0
Allochromatium	85072	genus	0	1	0	0.0
Bacillus subtilis subsp. natto	86029	subspecies	20823084	2	0	0.0
endosymbiont of Acanthamoeba sp. UWC8	86106	species	1615277	1	1	0.0
Syntrophothermus lipocalidus	86170	species	0	1	0	0.0
Cytophagaceae	89373	family	0	2	0	0.0
Enterobacterales	91347	order	0	1	0	0.0
Halobacteriovorax marinus	97084	species	3393238	1	0	0.0
Limosilactobacillus mucosae	97478	species	2175821	2	0	0.0
Limosilactobacillus frumenti	104955	species	1752928	1	0	0.0
Anaerostipes caccae	105841	species	3284789	1	0	0.0
Acinetobacter ursingii	108980	species	22945798	2	0	0.0
Mogibacterium diversum	114527	species	1815831	2	1	0.0
Cupriavidus metallidurans	119219	species	39842087	1	1	0.0
Methylocella	120652	genus	0	1	0	0.0
Erysipelotrichaceae	128827	family	0	1	0	0.0
Geobacillus subterraneus	129338	species	10984158	6	2	0.0
Bacillus subtilis subsp. subtilis	135461	subspecies	136871646	3	0	0.0
Chromatiales	135613	order	0	2	0	0.0
Aeromonadales	135624	order	0	1	0	0.0
Weissella cibaria	137591	species	31928393	1	0	0.0
Quatrionicoccus australiensis	138118	species	4171110	2	0	0.0
Collinsella stercoris	147206	species	2460746	1	0	0.0
Arthrobacter woluwensis	156980	species	3680971	1	0	0.0
Streptococcus pyogenes M1 GAS	160490	strain	1852433	1	0	0.0
Anaerococcus	165779	genus	0	1	0	0.0
Mycoplasmopsis cynos	171284	species	1093147	1	1	0.0
Delftia tsuruhatensis	180282	species	20033614	2	2	0.0
Bacillus thuringiensis serovar indiana	180850	leaf	6198448	1	1	0.0
Eubacteriales	186802	order	0	11	0	0.0
Lachnospiraceae	186803	family	0	3	0	0.0
Peptostreptococcaceae	186804	family	0	1	0	0.0
Peptococcaceae	186807	family	0	2	0	0.0
Bacillaceae	186817	family	0	2	0	0.0
Alicyclobacillaceae	186823	family	0	1	0	0.0
Thermoactinomycetaceae	186824	family	0	3	0	0.0
Lactobacillales	186826	order	0	2	0	0.0
Corynebacterium atypicum	191610	species	2359448	1	1	0.0
Desulfovibrionales	213115	order	0	1	0	0.0
Subdoligranulum variabile	214851	species	3244954	4	0	0.0
Oscillospiraceae	216572	family	0	21	0	0.0
Faecalibacterium	216851	genus	0	2	0	0.0
Thermodesulfobiaceae	227387	family	0	1	0	0.0
Peribacillus asahii	228899	species	19536561	5	0	0.0
Secundilactobacillus paracollinoides	240427	species	10733574	1	0	0.0
Klebsiella variicola	244366	species	319267187	3	0	0.0
Mahella	252965	genus	0	1	0	0.0
Ethanoligenens harbinense	253239	species	9084265	4	0	0.0
Bacillus halotolerans	260554	species	41809047	3	2	0.0
Pseudoalteromonadaceae	267888	family	0	1	0	0.0
Shewanellaceae	267890	family	0	1	0	0.0
Caldanaerobacter subterraneus subsp. tengcongensis MB4	273068	strain	2689445	1	0	0.0
Hoeflea	274591	genus	0	1	0	0.0
Dechloromonas denitrificans	281362	species	12657133	16	0	0.0
