name	taxID	taxRank	genomeSize	numReads	numUniqueReads	abundance
Spirochaetales	136	order	0	1	0	0.0
Borrelia	138	genus	0	1	0	0.0
Alteromonas	226	genus	0	1	0	0.0
Acetobacteraceae	433	family	0	1	0	0.0
Moraxellaceae	468	family	0	1	0	0.0
Acinetobacter	469	genus	0	1	0	0.0
Acinetobacter baumannii	470	species	1875884396	3	1	0.0
Enterobacteriaceae	543	family	0	1	0	0.0
Escherichia coli	562	species	10143976665	3	1	0.0
Klebsiella pneumoniae	573	species	6955559347	1	1	0.0
Vibrionaceae	641	family	0	1	0	0.0
Vibrio campbellii	680	species	75139958	1	1	0.0
Streptococcus thermophilus	1308	species	143236466	1	1	0.0
Enterococcus gallinarum	1353	species	21327526	1	0	0.0
Bacillus anthracis	1392	species	471360814	1	1	0.0
Bacillus thuringiensis	1428	species	310632746	1	0	0.0
Clostridium botulinum	1491	species	146505968	1	1	0.0
Clostridium cochlearium	1494	species	2435419	1	1	0.0
Clostridium beijerinckii	1520	species	43424194	1	0	0.0
Clostridiaceae	31979	family	0	1	0	0.0
Anaerococcus vaginalis	33037	species	1893964	2	0	0.0
Heyndrickxia oleronia	38875	species	15778987	1	0	0.0
Pseudoalteromonas piscicida	43662	species	26983928	1	1	0.0
Hyphomicrobiaceae	45401	family	0	1	0	0.0
Spirochaeta africana	46355	species	0	1	0	0.0
Sediminispirochaeta smaragdinae	55206	species	0	2	0	0.0
Borreliella	64895	genus	0	1	0	0.0
Treponema socranskii subsp. buccale	69713	subspecies	5672283	9	9	0.0
Treponema primitia	88058	species	0	1	0	0.0
Acinetobacter ursingii	108980	species	22945798	2	2	0.0
Alteromonadales	135622	order	0	1	0	0.0
Sphaerochaeta globosa str. Buddy	158189	strain	3316466	641	68	0.0
Sphaerochaeta pleomorpha str. Grapes	158190	strain	3590853	69	22	0.0
Carboxydocella thermautotrophica	178899	species	2678168	1	1	0.0
Escherichia albertii	208962	species	191492639	1	0	0.0
Desulfuromonadaceae	213421	family	0	1	0	0.0
Salinimonas	288793	genus	0	1	0	0.0
Sphaerochaeta	399320	genus	0	2	0	0.0
Peribacillus frigoritolerans	450367	species	51185915	1	0	0.0
Candidatus Desulforudis audaxviator	471827	species	2212508	2	0	0.0
Candidatus Desulforudis audaxviator MP104C	477974	strain	2349476	2	0	0.0
Sphaerobacter thermophilus DSM 20745	479434	strain	3993764	1	1	0.0
Treponema primitia ZAS-2	545694	strain	4059867	8	2	0.0
Leadbettera azotonutricia ZAS-9	545695	strain	3855671	5	0	0.0
Sediminispirochaeta smaragdinae DSM 11293	573413	strain	4653970	6	4	0.0
Hyphomicrobium denitrificans ATCC 51888	582899	strain	3638969	1	0	0.0
Alteromonas australica	589873	species	8766305	1	1	0.0
Evansella cellulosilytica DSM 2522	649639	strain	4681672	1	0	0.0
Spirochaeta thermophila DSM 6192	665571	strain	2472645	2	0	0.0
Hyphomicrobium denitrificans 1NES1	670307	strain	3808687	1	0	0.0
Caldinitratiruptor microaerophilus	671077	species	3599694	1	0	0.0
Pantoea ananatis LMG 20103	706191	strain	4703373	1	0	0.0
Hyphomicrobium sp. MC1	717785	species	4757528	1	0	0.0
Acinetobacter indicus	756892	species	66982650	1	1	0.0
Sphaerochaeta coccoides DSM 17374	760011	strain	2227296	16	9	0.0
Treponema succinifaciens DSM 2489	869209	strain	2897425	1	0	0.0
Spirochaeta thermophila DSM 6578	869211	strain	2560222	2	0	0.0
Caldithrix abyssi DSM 13497	880073	strain	4978541	1	1	0.0
Caldalkalibacillus thermarum TA2.A1	986075	strain	3344914	1	1	0.0
Bacillus cereus C1L	1003239	strain	6047547	1	0	0.0
Leptospirillum ferriphilum ML-04	1048260	strain	2406157	1	0	0.0
Thermoclostridium stercorarium subsp. stercorarium DSM 8532	1121335	strain	5944389	4	0	0.0
Thermoclostridium stercorarium subsp. thermolacticum DSM 2910	1121336	strain	3035622	2	0	0.0
Sphaerochaeta associata	1129264	species	3554903	5227	4647	0.0
Paraglaciecola psychrophila 170	1129794	strain	5413691	1	1	0.0
Pseudomonas putida DOT-T1E	1196325	strain	6260702	1	1	0.0
Salmonella enterica subsp. enterica serovar Antsalova str. S01-0511	1242087	strain	4648086	1	0	0.0
Anaerococcus obesiensis	1287640	species	1894618	2	0	0.0
Anoxybacter fermentans	1323375	species	3557532	1	1	0.0
Thermoclostridium stercorarium subsp. leptospartum DSM 9219	1346611	strain	3148357	2	0	0.0
Leptospirillum ferriphilum YSK	1441628	strain	2330585	1	0	0.0
Leptospirillum sp. Group II 'CF-1'	1660083	species	2709324	1	0	0.0
Acetivibrio saccincola	1677857	species	3604547	1	0	0.0
Clostridium thermarum	1716543	species	3805212	2	2	0.0
Boudabousia tangfeifanii	1912795	species	2207832	1	0	0.0
Phoenicibacter congonensis	1944646	species	2895912	2	0	0.0
Francisella adeliensis	2007306	species	4108321	2	0	0.0
Erythrobacter aureus	2182384	species	3372129	1	0	0.0
Saliniradius amylolyticus	2183582	species	3214946	1	0	0.0
Flavobacterium sp. CJ74	2294119	species	4843008	1	0	0.0
Clostridium manihotivorum	2320868	species	6364326	1	1	0.0
Klebsiella variicola subsp. tropica	2489014	subspecies	5544082	1	0	0.0
Oceanispirochaeta crateris	2518645	species	4012482	2	0	0.0
Zhaonella formicivorans	2528593	species	3314304	2	2	0.0
Ruminococcus bovis	2564099	species	2440231	1	0	0.0
Vibrio taketomensis	2572923	species	8665221	1	0	0.0
Francisella sp. Scap27	2589986	species	1967290	1	0	0.0
Flavobacterium alkalisoli	2602769	species	3985855	1	0	0.0
Novosphingobium decolorationis	2698673	species	4750375	2	0	0.0
Koleobacter methoxysyntrophicus	2751313	species	3102782	2	2	0.0
