name	taxID	taxRank	genomeSize	numReads	numUniqueReads	abundance
Escherichia coli	562	species	10143976665	1	1	0.0
Aeromonas veronii	654	species	138676447	1	0	0.0
Nitrospira	1234	genus	0	1	0	0.0
Bacillus licheniformis	1402	species	148010079	1	0	0.0
Clostridium cochlearium	1494	species	2435419	1	1	0.0
Moorella thermoacetica	1525	species	13333026	1	0	0.0
Acholeplasma laidlawii	2148	species	3108581	2	0	0.0
Arthrobacter crystallopoietes	37928	species	9414244	1	0	0.0
Hippea maritima	84405	species	0	1	0	0.0
Sphaerochaeta globosa str. Buddy	158189	strain	3316466	83	13	0.0
Sphaerochaeta pleomorpha str. Grapes	158190	strain	3590853	10	1	0.0
Bacillus sp. Y1	352858	species	5028825	1	0	0.0
Priestia aryabhattai	412384	species	21918959	1	0	0.0
[Clostridium] spiroforme DSM 1552	428126	strain	2528470	1	1	0.0
Acholeplasma laidlawii PG-8A	441768	strain	1496992	1	0	0.0
Bacillus velezensis	492670	species	930239249	1	0	0.0
Treponema primitia ZAS-2	545694	strain	4059867	1	0	0.0
Leadbettera azotonutricia ZAS-9	545695	strain	3855671	1	0	0.0
Thermodesulfobium narugense DSM 14796	747365	strain	1898865	1	0	0.0
Sphaerochaeta coccoides DSM 17374	760011	strain	2227296	3	2	0.0
Bacillus cereus C1L	1003239	strain	6047547	1	0	0.0
Sphaerochaeta associata	1129264	species	3554903	938	867	0.0
Mycolicibacterium mucogenicum DSM 44124	1226753	strain	6099273	1	0	0.0
Carnobacterium maltaromaticum LMA28	1234679	strain	3650416	1	0	0.0
Kiritimatiella glycovorans	1307763	species	2949723	1	0	0.0
Francisella adeliensis	2007306	species	4108321	4	0	0.0
Oceanobacillus zhaokaii	2052660	species	4103611	1	0	0.0
Moorella sp. Hama-1	2138101	species	3324617	1	0	0.0
Cohnella abietis	2507935	species	7059027	1	1	0.0
Francisella sp. Scap27	2589986	species	1967290	2	0	0.0
Koleobacter methoxysyntrophicus	2751313	species	3102782	1	1	0.0
Pseudomonas sp. DR48	2871095	species	7251677	1	1	0.0
