name	taxID	taxRank	genomeSize	numReads	numUniqueReads	abundance
Pseudomonas	286	genus	0	1	0	0.0
Pseudomonas aeruginosa	287	species	3070625948	1	0	0.0
Weeksella virosa	1014	species	2287133	1	0	0.0
Gammaproteobacteria	1236	class	0	1	0	0.0
Staphylococcus aureus	1280	species	2407768036	4	4	0.0
Staphylococcus hominis	1290	species	18335782	1	1	0.0
Staphylococcus warneri	1292	species	25040251	1	0	0.0
Streptococcus pyogenes	1314	species	424822574	2	2	0.0
Bacillales	1385	order	0	1	0	0.0
Bacillus cereus	1396	species	546199908	2	1	0.0
Clostridium botulinum	1491	species	146505968	1	0	0.0
Clostridium septicum	1504	species	10239405	1	0	0.0
Clostridium beijerinckii	1520	species	43424194	3	0	0.0
Latilactobacillus sakei	1599	species	52712740	1	1	0.0
Eubacterium limosum	1736	species	17735028	1	0	0.0
Tropheryma whipplei	2039	species	0	1	0	0.0
Acholeplasma laidlawii	2148	species	3108581	1	0	0.0
Veillonella	29465	genus	0	1	0	0.0
Halobacillus	45667	genus	0	1	0	0.0
Staphylococcus delphini	53344	species	24418365	2	0	0.0
Pseudomonas citronellolis	53408	species	29205026	1	0	0.0
Eubacterium callanderi	53442	species	4316707	1	0	0.0
Mogibacterium diversum	114527	species	1815831	1	0	0.0
Caloranaerobacter azorensis	116090	species	2539490	1	1	0.0
Leptotrichia shahii	157691	species	2161166	1	0	0.0
Sphaerochaeta globosa str. Buddy	158189	strain	3316466	7	1	0.0
Sphaerochaeta pleomorpha str. Grapes	158190	strain	3590853	1	0	0.0
Lentibacillus	175304	genus	0	1	0	0.0
Eubacteriales	186802	order	0	1	0	0.0
Paenibacillaceae	186822	family	0	1	0	0.0
Lactobacillales	186826	order	0	1	0	0.0
Neisseriales	206351	order	0	1	0	0.0
Faecalibacterium	216851	genus	0	1	0	0.0
Acholeplasma hippikon	264636	species	1465667	1	0	0.0
Acetohalobium arabaticum DSM 5501	574087	strain	2469596	1	0	0.0
Pseudomonas chlororaphis	587753	species	116673426	1	0	0.0
Nautilia profundicola AmH	598659	strain	1676444	1	0	0.0
Christensenella minuta	626937	species	2969292	3788	3788	0.0
Fimbriimonas ginsengisoli Gsoil 348	661478	strain	5231762	1	1	0.0
Caldinitratiruptor microaerophilus	671077	species	3599694	1	0	0.0
Desulforamulus ruminis DSM 2154	696281	strain	3969014	1	0	0.0
Halobacteroides halobius DSM 5150	748449	strain	2649255	1	0	0.0
Desulfoscipio gibsoniae DSM 7213	767817	strain	4855529	1	0	0.0
Weeksella virosa DSM 16922	865938	strain	2272954	1	0	0.0
Microlunatus phosphovorus NM-1	1032480	strain	5683123	1	0	0.0
Clostridium sp. SY8519	1042156	species	2835737	1	0	0.0
Sphaerochaeta associata	1129264	species	3554903	24	18	0.0
Corynebacterium pseudotuberculosis Cp162	1161911	strain	2382103	3	3	0.0
Cloacibacillus porcorum	1197717	species	3585187	1	1	0.0
Peptoclostridium acidaminophilum DSM 3953	1286171	strain	3055036	1	1	0.0
Gordonia ajococcus	1292359	species	5090254	1	1	0.0
Clostridium autoethanogenum DSM 10061	1341692	strain	8710150	1	0	0.0
Vallitalea pronyensis	1348613	species	6325483	1	1	0.0
Methylomagnum ishizawai	1760988	species	5199498	1	0	0.0
Enterobacter roggenkampii	1812935	species	160561300	1	1	0.0
Desulforamulus ferrireducens	1833852	species	3240180	1	0	0.0
Ndongobacter massiliensis	1871025	species	1864878	1	1	0.0
Spiroplasma sp. TU-14	1898044	species	1199640	1	0	0.0
Spiroplasma sp. NBRC 100390	1914410	species	1199621	1	0	0.0
Phoenicibacter congonensis	1944646	species	2895912	2	0	0.0
Eubacterium maltosivorans	2041044	species	4337501	1	0	0.0
Christensenella sp. Marseille-P3954	2086585	species	2422126	1	1	0.0
Petrocella atlantisensis	2173034	species	3518882	1	1	0.0
Nautilia sp. PV-1	2579250	species	1791100	1	0	0.0
Humibacter ginsenosidimutans	2599293	species	4183638	1	1	0.0
Methylobacterium sp. WL1	2603276	species	6251194	1	1	0.0
Schaalia sp. JY-X169	2758572	species	2382167	1	1	0.0
Dyella telluris	2763498	species	4991029	1	0	0.0
Sedimentibacter sp. zth1	2816908	species	3133930	1	1	0.0
Pseudarthrobacter sp. L1SW	2851598	species	4096555	1	1	0.0
Pseudomonas sp. SC3(2021)	2871493	species	6255857	1	0	0.0
Stutzerimonas	2901164	genus	0	1	0	0.0
